experiment,split,target_pcset_coverage,interval_vector_distance,row_order_accuracy,aggregate_completion_rate,serial_transformation_accuracy,rhythmic_profile_distance,density_curve_error,gesture_consistency_score,range_violation_rate
rule_baseline,test,0.99675,26.106,1.0,0.6624166666666667,1.0,1.715031023852527,11.835752116978169,0.4024763153326771,0.0
vanilla_transformer,test,0.996725,25.139,0.1579170447628646,0.6514166666666666,0.1579170447628646,0.9092783543877304,6.011342170000076,0.5278083305620668,0.0008315962075040141
proposed_constraint_guided_transformer,test,0.994925,25.732,0.23203043857820768,0.6597083333333333,0.23203043857820768,0.8163153494074941,5.661780680015683,0.5563522993256828,0.0001058296783625731
transformer_no_constraints,test,1.0,,,0.3834166666666667,,0.9363732502013445,5.507102179765702,0.6995266798926251,0.00019368795577093538
without_pcset_constraints,test,1.0,,0.15882049179313965,0.6624583333333334,0.15882049179313965,0.8725824532732368,5.988367438435555,0.5218229466832679,0.0003631081220661017
without_serial_constraints,test,0.9931166666666666,0.2325,,0.3797083333333333,,0.8724895183183253,5.715342266693711,0.5282910040904281,0.0005517677374565543
without_rhythm_constraints,test,0.9982,25.418,0.15986376153284076,0.659375,0.15986376153284076,0.9083265343904495,5.3512877274751665,0.5364244394252834,0.0005321338661193402
without_gesture_constraints,test,0.9961333333333333,26.0075,0.15517766965458618,0.661,0.15517766965458618,0.8431284496039152,5.677981854766608,0.6301230157847916,0.00037583722276246994
serial_only,test,1.0,,0.44162859207062816,0.9998333333333334,0.44162859207062816,0.9024782628715038,5.339961802542209,0.7076788737967846,3.696236559139785e-05
pcset_only,test,0.9982166666666666,0.1375,,0.38125,,0.9308547513633967,5.499524297297001,0.6999171361892469,0.00025663167028485865
rhythm_only,test,1.0,,,0.38783333333333336,,0.8823697102144361,5.936137223631143,0.6172715445834965,0.00027166193798493573
gesture_only,test,1.0,,,0.37366666666666665,,0.9147992526590825,5.381784484088421,0.5355946061158413,0.00020365087180196289
no_constraints,test,1.0,,,0.38258333333333333,,0.9388897099792958,5.5290052769184115,0.6963809129491685,0.00020822137957046842
